"Avatar","AvatarName","Comments","NumViews","UserName","UserURL"
"8999","Kodadoell","My iPhone stopped ringing, and I have read and followed all suggested settings. No this works?","11","Kodadoell","/people/Kodadoell"
"8999","Kodadoell","Guys, why I can hear the noise into my iPhone 7? I can hear this all the time. But when I play games and take videos this noise is high. What I must do?","17","Kodadoell","/people/Kodadoell"
"6725","razmee209","The noise","39","razmee209","/people/razmee209"
"8999","Vladimir309126","how to stop receiving emails from you i got 2000 emails in 2 day","24","Vladimir309126","/people/Vladimir309126"
"8999","Vladimir309126","Problème","27","Vladimir309126","/people/Vladimir309126"
"1165","Iamthetaylor ","no connection to a network","32","Iamthetaylor%20","/people/Iamthetaylor%20"
"8999","Vladimir309126","iPhone 7 Plus Bluetooth issue","13","Vladimir309126","/people/Vladimir309126"
"8999","Vladimir309126","Iphone 5C activation locked","91","Vladimir309126","/people/Vladimir309126"
"8999","kb1951","bluetooth compatability with Jeep","7","kb1951","/people/kb1951"
"8999","almishlsh","How do I get rid of spinning circle","12","almishlsh","/people/almishlsh"
"8999","almishlsh","My app stores do not charge help me (Il mio app store non carica aiutatemi)","5","almishlsh","/people/almishlsh"
"1618","Demo","Alarm only vibrates in ios 10","6","Demo","/people/Demo"
"8999","Abdoulayeattaher","i have an iphone 6 that my friend gave me but he doesnt remeber the id password so i reest it on itunes and it said activation lock and now i cant do anything","19","Abdoulayeattaher","/people/Abdoulayeattaher"
"8999","Abdoulayeattaher","i need the unlock code for my out of contract 5C and vodafone say will take upto 10 days can apple do this ?","17","Abdoulayeattaher","/people/Abdoulayeattaher"
"9117","Carolyn Samit","Mail display blank (white) screen when open in iPhone 7 Plus in landscape mode","524","Carolyn%20Samit","/people/Carolyn%20Samit"
"8999","Annie727","Iphone 7 Cloud Back-up","11","Annie727","/people/Annie727"
"8999","Annie727","When someone w an iPhone is responding to a txt that I've sent I don't see the ""bubble w wavy dots"". Is it a setting in my iPhone or theirs that needs to be adj ...","26","Annie727","/people/Annie727"
"1197","LACAllen","where do videos store in iphone?","7","LACAllen","/people/LACAllen"
"8999","Namyzarc1","Visual voice mail","10","Namyzarc1","/people/Namyzarc1"
"8999","Namyzarc1","Contact names not showing on Bluetooth calls","2","Namyzarc1","/people/Namyzarc1"
"2777","FoxFifth","Silent Calls when listing to music on bluetooth speaker","31","FoxFifth","/people/FoxFifth"
"8999","1000namesgone","Unable to stay logged in to Game Center","7","1000namesgone","/people/1000namesgone"
"8999","1000namesgone","Phone notifications?","7","1000namesgone","/people/1000namesgone"
"8999","jamesfromcornelius","Not getting text notifications on the locked screen","7","jamesfromcornelius","/people/jamesfromcornelius"
"8999","jamesfromcornelius","No pictures in Messages","14","jamesfromcornelius","/people/jamesfromcornelius"
"3097","Lawrence Finch","how to remove free.com.00","15","Lawrence%20Finch","/people/Lawrence%20Finch"
"8999","charlottefromorange","How to Find PIN sender..?","14","charlottefromorange","/people/charlottefromorange"
"8999","charlottefromorange","i cant get my imessage and facetime activated for iphone","72","charlottefromorange","/people/charlottefromorange"
"8999","smercedes0308","I can't access my wireless network It has a lock icon at its side","49","smercedes0308","/people/smercedes0308"
"8999","smercedes0308","No service/network searching after ios 10 update","28,226","smercedes0308","/people/smercedes0308"
"8999","jondgls","How to update from iOS 6.1.2 to 7 ?","23","jondgls","/people/jondgls"
"8999","jondgls","Problem with playing music on Apple Music since ios10.2","6","jondgls","/people/jondgls"
"1091","Niel","iphone 6 plus Bluetooth connectivity","19","Niel","/people/Niel"
"8999","Kimberley-11","Calendar Invites Not Sending","87","Kimberley-11","/people/Kimberley-11"
"8999","Kimberley-11","iPhone Toyota inbound call problem","11","Kimberley-11","/people/Kimberley-11"
"8999","fletpablo","assistive touch freezes after update to iOS10.2","3,095","fletpablo","/people/fletpablo"
"8999","fletpablo","Upgrading to iOS 10 breaks Save Image from emails","20,418","fletpablo","/people/fletpablo"
"2651","umparrothead","TV app on iPhone with iOS","38","umparrothead","/people/umparrothead"
"2651","umparrothead","No Trash All to Delete All Emails in iOS 10","14","umparrothead","/people/umparrothead"
"8999","McCaffertee","I can turn off my iphone 7 without finishing the initial setup? It affects the battery or something?","11","McCaffertee","/people/McCaffertee"
"1143","MeMeZu","iphone 6 speak selection freezes.","5","MeMeZu","/people/MeMeZu"
"1143","MeMeZu","I want to change my birthday on my iPhone 7 contact card","7","MeMeZu","/people/MeMeZu"
"8999","zafar_av","Limiting the size of Photos Memory usage on iPhones","16","zafar_av","/people/zafar_av"
"8999","zafar_av","Can anyone access my photos to the photo app while the phone is in lost mode?","32","zafar_av","/people/zafar_av"
"8999","conjunto_vacio","I have iPhone 5S with service from Tracfone. When I travel overseas I really do not care if I have phone service. But I want to use all other features of my phone. 1st tr ...","6","conjunto_vacio","/people/conjunto_vacio"
"8999","xzalydia21","My messages wont allow me to see when i get a message (and yes i have my nontofications turned on) and when i send a message it deletes it after a couple minutes (and i h ...","9","xzalydia21","/people/xzalydia21"
"8999","xzalydia21","device wont sync to itunes. only music and pics. how do i get my iphone 6s to sync device to itunes on windows 10 pc?","7","xzalydia21","/people/xzalydia21"
"8999","xrschrisa","I don't remember my passcode Iphone 5, what do?","17","xrschrisa","/people/xrschrisa"
"8999","xrschrisa","iPhone 6 battery shutdown problem","45","xrschrisa","/people/xrschrisa"
"8999","rast.inesa","Facetime activation failure","5","rast.inesa","/people/rast.inesa"
"8999","rast.inesa","How can I download photos from my IPhone 7plus to my computer's storage?","17","rast.inesa","/people/rast.inesa"
"1119","Courcoul","My Iphone4 Needs to Recognize my Apple ID...","12","Courcoul","/people/Courcoul"
"8999","wildrover4","HELP! My iPhone 5 (iOS 10.2) has been freezing when I try to use the phone options and a lot of calls are randomly failing. Everything else works fine.","3","wildrover4","/people/wildrover4"
"8999","wildrover4","how do I delete a friend from find my friends app on a old apple id I no longer use?","23","wildrover4","/people/wildrover4"
"8999","Wafflepiezz","iPhone7 Bluetooth issue in the car","41,390","Wafflepiezz","/people/Wafflepiezz"
"8999","arsalanzaffar","Forgot id","16","arsalanzaffar","/people/arsalanzaffar"
"8999","arsalanzaffar","""Please update from iOS 10 beta"" but software is up to date","1,714","arsalanzaffar","/people/arsalanzaffar"
"8999","specialsunflower48","How do I name a group that uses MMS?","11","specialsunflower48","/people/specialsunflower48"
"8999","specialsunflower48","stop timer with Siri?","13","specialsunflower48","/people/specialsunflower48"
"1154","Chris CA","iphone apple id","25","Chris%20CA","/people/Chris%20CA"
"8999","azmerv","how to stop siri from repeating my alarm command ten times","2,053","azmerv","/people/azmerv"
"8999","azmerv","What is my passcode to download a soft wear up date","7","azmerv","/people/azmerv"
"8999","Us331242","My stolen iPhone 6 (from Texas), according to findmyiphone, appears to be in a house in Ohio. What can I do next?","21","Us331242","/people/Us331242"
"8999","Caprisun1200","Trying to save iphone storage by moving photos to cloud but deleting them from iphone also deletes from icloud so what is the point","21","Caprisun1200","/people/Caprisun1200"
"8999","Caprisun1200","4s noise cancellation missing ios 9.3.5","5","Caprisun1200","/people/Caprisun1200"
"8999","roaminggnome","Homekit multi user geofencing","868","roaminggnome","/people/roaminggnome"
"8999","Eo2017","Family accounts - organizing","18","Eo2017","/people/Eo2017"
"8999","Eo2017","i have skull candy headphones and a new iphone 7 plus and they wont connect to my device","20","Eo2017","/people/Eo2017"
"1197","LACAllen","Can't see the body of my emails iphone 6.","2","LACAllen","/people/LACAllen"
